Set;Bezeichnung/Name;Typ (Hersteller/Produkt);Seriennr.;Anmerkungen;Anlagennummer
VL 01;LED 01;LED Scheinwerfer Thomann;;;dgfsh5twgg4536u4565
VL 02;LED 02;LED Scheinwerfer Thomann;;;dgfsh5twgg4536u4566
VL 03;LED 03;LED Scheinwerfer Thomann;;;dgfsh5twgg4536u4567
VL 04;LED 04;LED Scheinwerfer Thomann;;;dgfsh5twgg4536u4568
VL 05;Kopflicht  Fl„che;Foto/Video LED-Leuchte Walimex 312D (Led Kopflicht);;;dgfsh5twgg4536u4569
VL 06;Kopflicht Dedo;Bi-Color On-Camera-Leuchte LEDZILLA DLOBML-Bi (Led Kopflicht);;bei PSV dabei;dgfsh5twgg4536u4570
VL 07;"LED Set Fl„che 01,
3er-Set Fl.";Fl„chenleuchte F&V K4000s 3er-Set m. Transportkoffer;;Inlaykarte fehlt;dgfsh5twgg4536u4571
VL 08;Lampenstativ;Walimex Lampenstativ;;;dgfsh5twgg4536u4572
VL 09;Lampenstativ;Walimex Lampenstativ;;;dgfsh5twgg4536u4573
VL 10;Lampenstativ;Walimex Lampenstativ;;;dgfsh5twgg4536u4574
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
